"Record Set","Primary Classification","Subtype","Name","Description","Product","Domain / Product Category","Commercial Type","Availability","Availability Group","Identifier","Minimum Required Version","Related Joule Assistants","Source","Source Collection","Snapshot Date","Notes"
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Personalization Rules","Tailor the recommended product set to your business needs.","SAP Engagement Cloud","Customer Relationship Management","Base","Generally Available","Generally Available","J838","","","https://discovery-center.cloud.sap/ai-feature/5860e88c-cf84-4552-94aa-dc1756ddc995/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Personalized Learning Recommendations","Get personalized AI-driven learning recommendations based on skills and role.","SAP SuccessFactors Learning","Human Capital Management","Base","Generally Available","Generally Available","J1279","","","https://discovery-center.cloud.sap/ai-feature/9e0871fa-e745-4aba-89b0-5b7b3699fb32/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Personalized Opportunities Recommendations","Improve assignment and open job recommendations.","SAP SuccessFactors Career and Talent Development","Human Capital Management","Base","Generally Available","Generally Available","J996","","","https://discovery-center.cloud.sap/ai-feature/89c64e94-9341-4fc2-8f8b-1c05c19cc0f8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Personalized Search","Displays search results with products tailored to users’ interests.","Intelligent Selling Services for SAP Commerce Cloud","Customer Relationship Management","Base","Generally Available","Generally Available","J922","","","https://discovery-center.cloud.sap/ai-feature/7d8e2b6c-cc25-466c-9037-ee756ce90bd8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Pinned AI","Attach helpful AI functionality directly to specific on-screen elements.","WalkMe","Technology Platform","Base","Generally Available","Generally Available","J1461","","","https://discovery-center.cloud.sap/ai-feature/84c88f1a-9cc9-462f-a327-07aa0edac4e6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Policy Assistance","Boost policy awareness and drive compliance with AI-generated policy trip tips.","Concur Expense","Spend Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J454","","","https://discovery-center.cloud.sap/ai-feature/6e510fad-120e-4b9a-9eb1-e1cfb5352436/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Policy Rule Generator","Streamline travel policy setup by auto-generating rules from travel policies.","Concur Travel","Spend Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J1190","","","https://discovery-center.cloud.sap/ai-feature/e1add036-0af8-449d-a45d-7e7443f10fe6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Popular Items","Discover popular items in your company's catalog.","SAP Ariba Buying","Spend Management","Base","Generally Available","Generally Available","J809","","","https://discovery-center.cloud.sap/ai-feature/60dc710e-feb8-44ce-9f05-c3f5d999fbb0/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Pre-submit Receipt Check","Check expenses for receipt issues before submission.","Concur Expense","Spend Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J1298","","","https://discovery-center.cloud.sap/ai-feature/982bbac5-9098-46fb-87d6-5db578179c44/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Predictive Labor Demand Planning","Predict planned workload data based on picking and packing outbound processes.","SAP Extended Warehouse Management","Cloud ERP applications","Base","Generally Available","Generally Available","J237","SAP S/4HANA 2023 FPS03","","https://discovery-center.cloud.sap/ai-feature/9deeeefb-fd9f-422f-9fbe-e236f2e53cad/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Predictive Planning","Predictive planning creates accurate forecasts to speed up planning activities.","SAP Analytics Cloud","Technology Platform","Base","Generally Available","Generally Available","J894","","","https://discovery-center.cloud.sap/ai-feature/07cbfbe5-5fec-4f2f-9e5b-8a7c2dfd6d74/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Predictive Routing","Predict realistic driving distances and times.","SAP Field Service Management","Supply Chain Management","Base","Generally Available","Generally Available","J828","","","https://discovery-center.cloud.sap/ai-feature/3f5f1534-0869-43e4-93ae-e60814d380fa/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Predictive Subject Dynamics","Predict patient enrollment and dropouts for accurate clinical supply planning.","SAP Intelligent Clinical Supply Management","Supply Chain Management","Base","Generally Available","Generally Available","J328","","","https://discovery-center.cloud.sap/ai-feature/bbec33b6-b688-4ccd-8bb2-cbc6631e83e8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Premise Billed Consumption Summary","Analyze billed consumption data and correlate it with temperature trends.","SAP Service Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J1147","","","https://discovery-center.cloud.sap/ai-feature/3e851879-1943-49c9-8dd4-27589086bf0a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Process Analyzer‚ Automated Mapping","Map various inputs based on their context.","SAP Signavio Process Intelligence","Technology Platform","","Beta","Beta","J1122","","","https://discovery-center.cloud.sap/ai-feature/6c6eb8d1-764c-4727-b8d5-4911607f89b8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Process Analyzer‚ Text to Insight","Prompt to discover insights from your data.","SAP Signavio solutions","Business Transformation Management","Base","Generally Available","Generally Available","J112","","","https://discovery-center.cloud.sap/ai-feature/a6dde1d9-6da4-443f-874a-e6eb183e2bd5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Process Analyzer‚ Text To Widget","Generate dashboard widgets with natural language queries.","SAP Signavio solutions","Business Transformation Management","Base","Generally Available","Generally Available","J212","","","https://discovery-center.cloud.sap/ai-feature/6d74c5e9-32c1-443c-be23-c7ebbc51d573/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Process Editing","Support process design with natural language editing for automation artifacts.","SAP Build Process Automation","Technology Platform","Base","Generally Available","Generally Available","J639","","","https://discovery-center.cloud.sap/ai-feature/143f1e51-609a-45d9-ab96-bf286e044a03/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Process Generation","Generate process artifacts from natural language to support process automation.","SAP Build Process Automation","Technology Platform","Base","Generally Available","Generally Available","J638","","","https://discovery-center.cloud.sap/ai-feature/50a434ab-f63c-4f3f-a5d2-c661b5d461f2/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Process Modeler","Generate a BPMN diagram from a text description or image of a business process.","SAP Signavio solutions","Business Transformation Management","Premium","Generally Available","Generally Available","J213","","","https://discovery-center.cloud.sap/ai-feature/84eb743d-acdb-48ff-b933-ec51fe9f5f12/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Process Summarization","Generate business summaries for undocumented process models.","SAP Build Process Automation","Technology Platform","Base","Generally Available","Generally Available","J640","","","https://discovery-center.cloud.sap/ai-feature/69b0874a-e8a6-49e3-b66c-4a6c5b1fd77f/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Processing of Incoming Quality Certificates with SAP Document AI","Automatically process incoming quality certificate documents.","SAP S/4HANA Cloud Public Edition","Cloud ERP applications","Premium","Generally Available","Generally Available","J358","","","https://discovery-center.cloud.sap/ai-feature/3fd5ea00-34fa-487e-a76a-be112a71220a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Processing of Payment Advices with SAP Document AI","Automate payment-advice processing to reduce errors and manual fixes.","SAP S/4HANA Cloud Public Edition","Cloud ERP applications","Premium","Generally Available","Generally Available","J1104","","","https://discovery-center.cloud.sap/ai-feature/988b6b7c-ac4f-4c5f-be46-0366c7dc5a2e/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Product Descriptions","Create personalized product descriptions that enrich your catalog data.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J11","","","https://discovery-center.cloud.sap/ai-feature/26ba4bf2-a78e-444c-ab9f-99ff2df5ee3e/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Product Finder","Find and insert products into emails using AI-powered search.","SAP Engagement Cloud","Customer Relationship Management","Premium","Generally Available","Generally Available","J361","","","https://discovery-center.cloud.sap/ai-feature/d8cc96bf-328c-4990-90e4-f8b40531cd0d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Product Recommendation","Make quick upselling offers to customers.","SAP Sales Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J800","","","https://discovery-center.cloud.sap/ai-feature/05abefb4-3b91-4fb0-8066-d0015c614c57/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Product Recommendations","Get system-generated product recommendations for your assortment.","SAP Assortment Planning","Customer Relationship Management","Base","Generally Available","Generally Available","J812","","","https://discovery-center.cloud.sap/ai-feature/1f5b7c78-b43f-468c-b577-934a6d89447e/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Product Recommendations","Show visitors the right products at the right time in their shopping journey.","Intelligent Selling Services for SAP Commerce Cloud","Customer Relationship Management","Base","Generally Available","Generally Available","J805","","","https://discovery-center.cloud.sap/ai-feature/07502ba4-aca2-405a-99f2-671d9c4ff94a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Product Slotting","Determine product attributes for new products in the warehouse.","SAP Extended Warehouse Management","Supply Chain Management","Base","Generally Available","Generally Available","J857","SAP S/4HANA 2022 FPS1","","https://discovery-center.cloud.sap/ai-feature/dcc6b99e-4545-40bc-beef-fd85272062d7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
